TABLE	NV3_DUAL_EX_BP_V2_004781				
WAVE	0.591	1.00E+00	1.00E+00	4.05E-07	4.05E-07
WAVE	0.592	1.00E+00	1.00E+00	4.20E-07	4.20E-07
WAVE	0.593	1.00E+00	1.00E+00	3.30E-07	3.30E-07
WAVE	0.594	1.00E+00	1.00E+00	1.25E-07	1.25E-07
WAVE	0.595	1.00E+00	1.00E+00	7.53E-08	7.53E-08
WAVE	0.596	1.00E+00	1.00E+00	1.09E-07	1.09E-07
WAVE	0.597	1.00E+00	1.00E+00	1.82E-07	1.82E-07
WAVE	0.598	1.00E+00	1.00E+00	4.97E-08	4.97E-08
WAVE	0.599	1.00E+00	1.00E+00	4.09E-08	4.09E-08
WAVE	0.6	1.00E+00	1.00E+00	4.31E-06	4.31E-06
WAVE	0.601	1.00E+00	1.00E+00	1.23E-08	1.23E-08
WAVE	0.602	1.00E+00	1.00E+00	2.91E-09	2.91E-09
WAVE	0.603	1.00E+00	1.00E+00	2.58E-09	2.58E-09
WAVE	0.604	1.00E+00	1.00E+00	4.57E-08	4.57E-08
WAVE	0.605	1.00E+00	1.00E+00	9.38E-10	9.38E-10
WAVE	0.606	1.00E+00	1.00E+00	1.53E-10	1.53E-10
WAVE	0.607	1.00E+00	1.00E+00	6.56E-11	6.56E-11
WAVE	0.608	1.00E+00	1.00E+00	5.24E-11	5.24E-11
WAVE	0.609	1.00E+00	1.00E+00	8.08E-11	8.08E-11
WAVE	0.61	1.00E+00	1.00E+00	3.36E-10	3.36E-10
WAVE	0.611	1.00E+00	1.00E+00	3.09E-10	3.09E-10
WAVE	0.612	1.00E+00	1.00E+00	1.11E-10	1.11E-10
WAVE	0.613	1.00E+00	1.00E+00	1.48E-10	1.48E-10
WAVE	0.614	1.00E+00	1.00E+00	1.35E-10	1.35E-10
WAVE	0.615	1.00E+00	1.00E+00	2.84E-11	2.84E-11
WAVE	0.616	1.00E+00	1.00E+00	1.62E-11	1.62E-11
WAVE	0.617	1.00E+00	1.00E+00	3.66E-11	3.66E-11
WAVE	0.618	1.00E+00	1.00E+00	5.99E-11	5.99E-11
WAVE	0.619	1.00E+00	1.00E+00	3.34E-12	3.34E-12
WAVE	0.62	1.00E+00	1.00E+00	1.10E-12	1.10E-12
WAVE	0.621	1.00E+00	1.00E+00	8.04E-13	8.04E-13
WAVE	0.622	1.00E+00	1.00E+00	1.55E-12	1.55E-12
WAVE	0.623	1.00E+00	1.00E+00	1.19E-10	1.19E-10
WAVE	0.624	1.00E+00	1.00E+00	4.71E-13	4.71E-13
WAVE	0.625	1.00E+00	1.00E+00	1.13E-13	1.13E-13
WAVE	0.626	1.00E+00	1.00E+00	5.81E-14	5.81E-14
WAVE	0.627	1.00E+00	1.00E+00	4.96E-14	4.96E-14
WAVE	0.628	1.00E+00	1.00E+00	7.36E-14	7.36E-14
WAVE	0.629	1.00E+00	1.00E+00	3.20E-13	3.20E-13
WAVE	0.63	1.00E+00	1.00E+00	1.41E-12	1.41E-12
WAVE	0.631	1.00E+00	1.00E+00	8.57E-14	8.57E-14
WAVE	0.632	1.00E+00	1.00E+00	3.79E-14	3.79E-14
WAVE	0.633	1.00E+00	1.00E+00	3.48E-14	3.48E-14
WAVE	0.634	1.00E+00	1.00E+00	6.54E-14	6.54E-14
WAVE	0.635	1.00E+00	1.00E+00	8.99E-13	8.99E-13
WAVE	0.636	1.00E+00	1.00E+00	1.56E-13	1.56E-13
WAVE	0.637	1.00E+00	1.00E+00	2.84E-14	2.84E-14
WAVE	0.638	1.00E+00	1.00E+00	1.46E-14	1.46E-14
WAVE	0.639	1.00E+00	1.00E+00	1.25E-14	1.25E-14
WAVE	0.64	1.00E+00	1.00E+00	1.59E-14	1.59E-14
WAVE	0.641	1.00E+00	1.00E+00	3.21E-14	3.21E-14
WAVE	0.642	1.00E+00	1.00E+00	1.42E-13	1.42E-13
WAVE	0.643	1.00E+00	1.00E+00	3.08E-10	3.08E-10
WAVE	0.644	1.00E+00	1.00E+00	3.09E-13	3.09E-13
WAVE	0.645	1.00E+00	1.00E+00	1.71E-13	1.71E-13
WAVE	0.646	1.00E+00	1.00E+00	2.36E-13	2.36E-13
